Name,Build
ESXe350-200808501-I-SG,113338
VMware ESXi 3.5 Update 2 (reissued),110271
ESXe350-200807812-I-BG,110180
VMware ESXi 3.5 Update 2 (timebombed),103909
ESXe350-200805501-I-SG,94430
ESXe350-200804401-O-BG,85332
VMware ESXi 3.5 Update 1,82664
ESXe350-200802401-I-BG,76563
ESXe350-200712401-O-BG,
VMware ESXi 3.5 Initial Release,70348
VMware ESXi 3.5 First Public Release,67921
